Country,Province,District,VDC/Municipality,Ward No.,Tole
Nepal,Madhesh Province,SIRAHA,Bishnupur Rural Municipality,,
Nepal,Madhesh Province,SIRAHA,Arnama Rural Municipality,,
Nepal,Madhesh Province,SIRAHA,Sukhipur Urban Municipality,,
Nepal,Madhesh Province,SIRAHA,Laxmipur Patari Rural Municipality,,
Nepal,Madhesh Province,SIRAHA,Sakhuwa Nankarkatti Rural Municipality,,
Nepal,Madhesh Province,SIRAHA,Bhagawanpur Rural Municipality,,
Nepal,Madhesh Province,SIRAHA,Nawarajpur Rural Municipality,,
Nepal,Madhesh Province,SIRAHA,Bariyarpatti Rural Municipality,,
Nepal,Madhesh Province,SIRAHA,Aurahi Rural Municipality,,
Nepal,Madhesh Province,SIRAHA,Siraha Urban Municipality,,
Nepal,Madhesh Province,DHANUSA,Ganeshman Charnath Urban Municipality,,
Nepal,Madhesh Province,DHANUSA,Dhanushadham Urban Municipality,,
Nepal,Madhesh Province,DHANUSA,Mithila Urban Municipality,,
Nepal,Madhesh Province,DHANUSA,Bateshwor Rural Municipality,,
Nepal,Madhesh Province,DHANUSA,Chhireshwornath Urban Municipality,,
Nepal,Madhesh Province,DHANUSA,Laxminiya Rural Municipality,,
Nepal,Madhesh Province,DHANUSA,Mithila Bihari Urban Municipality,,
Nepal,Madhesh Province,DHANUSA,Hansapur Urban Municipality,,
Nepal,Madhesh Province,DHANUSA,Sabaila Urban Municipality,,
Nepal,Madhesh Province,DHANUSA,Shahidnagar Urban Municipality,,
Nepal,Madhesh Province,DHANUSA,Kamala Urban Municipality,,
Nepal,Madhesh Province,DHANUSA,Janak Nandini Rural Municipality,,
Nepal,Madhesh Province,DHANUSA,Bideha Urban Municipality,,
Nepal,Madhesh Province,DHANUSA,Aurahi Rural Municipality,,
Nepal,Madhesh Province,DHANUSA,Janakpurdham Sub-Metropolitian City,,
Nepal,Madhesh Province,DHANUSA,Dhanauji Rural Municipality,,
Nepal,Madhesh Province,DHANUSA,Nagarain Urban Municipality,,
Nepal,Madhesh Province,DHANUSA,Mukhiyapatti Musaharmiya Rural Municipality,,
Nepal,Madhesh Province,MAHOTTARI,Bardibas Urban Municipality,,
Nepal,Madhesh Province,MAHOTTARI,Gaushala Urban Municipality,,
Nepal,Madhesh Province,MAHOTTARI,Sonama Rural Municipality,,
Nepal,Madhesh Province,MAHOTTARI,Aurahi Urban Municipality,,
Nepal,Madhesh Province,MAHOTTARI,Bhangaha Urban Municipality,,
Nepal,Madhesh Province,MAHOTTARI,Loharpatti Urban Municipality,,
Nepal,Madhesh Province,MAHOTTARI,Balawa Urban Municipality,,
