Country,Province,District,VDC/Municipality,Ward No.,Tole
Nepal,Bagmati Province,MAKWANPUR,Thaha Urban Municipality,,
Nepal,Bagmati Province,MAKWANPUR,Kailash Rural Municipality,,
Nepal,Bagmati Province,MAKWANPUR,Raksirang Rural Municipality,,
Nepal,Bagmati Province,MAKWANPUR,Manahari Rural Municipality,,
Nepal,Bagmati Province,MAKWANPUR,Hetauda Sub-Metropolitian City,,
Nepal,Bagmati Province,MAKWANPUR,Bhimphedi Rural Municipality,,
Nepal,Bagmati Province,MAKWANPUR,Makawanpurgadhi Rural Municipality,,
Nepal,Bagmati Province,MAKWANPUR,Bakaiya Rural Municipality,,
Nepal,Bagmati Province,MAKWANPUR,Bagmati Rural Municipality,,
Nepal,Bagmati Province,CHITAWAN,Rapti Urban Municipality,,
Nepal,Bagmati Province,CHITAWAN,Kalika Urban Municipality,,
Nepal,Bagmati Province,CHITAWAN,Ichchha Kamana Rural Municipality,,
Nepal,Bagmati Province,CHITAWAN,Bharatpur Metropolitian City,,
Nepal,Bagmati Province,CHITAWAN,Ratnanagar Urban Municipality,,
Nepal,Bagmati Province,CHITAWAN,Khairahani Urban Municipality,,
Nepal,Bagmati Province,CHITAWAN,Madi Urban Municipality,,
Nepal,Gandaki Province,GORKHA,Chumanubri Rural Municipality,,
Nepal,Gandaki Province,GORKHA,Ajirkot Rural Municipality,,
Nepal,Gandaki Province,GORKHA,Barpak Sulikot Rural Municipality,,
Nepal,Gandaki Province,GORKHA,Dharche Rural Municipality,,
Nepal,Gandaki Province,GORKHA,Aarughat Rural Municipality,,
Nepal,Gandaki Province,GORKHA,Bhimsenthapa Rural Municipality,,
Nepal,Gandaki Province,GORKHA,Siranchowk Rural Municipality,,
Nepal,Gandaki Province,GORKHA,Palungtar Urban Municipality,,
Nepal,Gandaki Province,GORKHA,Gorkha Urban Municipality,,
Nepal,Gandaki Province,GORKHA,Shahid Lakhan Rural Municipality,,
Nepal,Gandaki Province,GORKHA,Gandaki Rural Municipality,,
Nepal,Gandaki Province,MANANG,Narpa Bhumi Rural Municipality,,
Nepal,Gandaki Province,MANANG,Manang Ngisyang Rural Municipality,,
Nepal,Gandaki Province,MANANG,Chame Rural Municipality,,
Nepal,Gandaki Province,MANANG,Nason Rural Municipality,,
Nepal,Gandaki Province,MUSTANG,Lo Ghekar Damodarkunda Rural Municipality,,
Nepal,Gandaki Province,MUSTANG,Gharpajhong Rural Municipality,,
Nepal,Gandaki Province,MUSTANG,Varagung Muktichhetra Rural Municipality,,
Nepal,Gandaki Province,MUSTANG,Lomanthang Rural Municipality,,
Nepal,Gandaki Province,MUSTANG,Thasang Rural Municipality,,
Nepal,Gandaki Province,MYAGDI,Annapurna Rural Municipality,,
Nepal,Gandaki Province,MYAGDI,Raghuganga Rural Municipality,,
Nepal,Gandaki Province,MYAGDI,Dhawalagiri Rural Municipality,,
Nepal,Gandaki Province,MYAGDI,Malika Rural Municipality,,
Nepal,Gandaki Province,MYAGDI,Mangala Rural Municipality,,
Nepal,Gandaki Province,MYAGDI,Beni Urban Municipality,,
Nepal,Gandaki Province,KASKI,Madi Rural Municipality,,
Nepal,Gandaki Province,KASKI,Machhapuchchhre Rural Municipality,,
Nepal,Gandaki Province,KASKI,Annapurna Rural Municipality,,
Nepal,Gandaki Province,KASKI,Pokhara Metropolitian City,,
Nepal,Gandaki Province,KASKI,Rupa Rural Municipality,,
Nepal,Gandaki Province,LAMJUNG,Dordi Rural Municipality,,
Nepal,Gandaki Province,LAMJUNG,Marshyangdi Rural Municipality,,
Nepal,Gandaki Province,LAMJUNG,Kwhola Sothar Rural Municipality,,
Nepal,Gandaki Province,LAMJUNG,Madhya Nepal Urban Municipality,,
Nepal,Gandaki Province,LAMJUNG,Bensi Shahar Urban Municipality,,
Nepal,Gandaki Province,LAMJUNG,Sundarbazar Urban Municipality,,
Nepal,Gandaki Province,LAMJUNG,Rainas Urban Municipality,,
Nepal,Gandaki Province,LAMJUNG,Dudhapokhari Rural Municipality,,
Nepal,Gandaki Province,TANAHU,Bhanu Urban Municipality,,
Nepal,Gandaki Province,TANAHU,Byas Urban Municipality,,
Nepal,Gandaki Province,TANAHU,Myagde Rural Municipality,,
Nepal,Gandaki Province,TANAHU,Shuklagandaki Urban Municipality,,
Nepal,Gandaki Province,TANAHU,Bhimad Urban Municipality,,
Nepal,Gandaki Province,TANAHU,Ghiring Rural Municipality,,
Nepal,Gandaki Province,TANAHU,Rhishing Rural Municipality,,
Nepal,Gandaki Province,TANAHU,Devghat Rural Municipality,,
Nepal,Gandaki Province,TANAHU,Bandipur Rural Municipality,,
Nepal,Gandaki Province,TANAHU,Aanbu Khaireni Rural Municipality,,
Nepal,Gandaki Province,NAWALPARASI EAST,Gaidakot Urban Municipality,,
Nepal,Gandaki Province,NAWALPARASI EAST,Bulingtar Rural Municipality,,
Nepal,Gandaki Province,NAWALPARASI EAST,Baudikali Rural Municipality,,
Nepal,Gandaki Province,NAWALPARASI EAST,Hupsekot Rural Municipality,,
Nepal,Gandaki Province,NAWALPARASI EAST,Devchuli Urban Municipality,,
Nepal,Gandaki Province,NAWALPARASI EAST,Kawasoti Urban Municipality,,
Nepal,Gandaki Province,NAWALPARASI EAST,Madhya Bindu Urban Municipality,,
Nepal,Gandaki Province,NAWALPARASI EAST,Binayi Tribeni Rural Municipality,,
Nepal,Gandaki Province,SYANGJA,Putalibazar Urban Municipality,,
Nepal,Gandaki Province,SYANGJA,Phedikhola Rural Municipality,,
Nepal,Gandaki Province,SYANGJA,Aandhikhola Rural Municipality,,
Nepal,Gandaki Province,SYANGJA,Arjun Choupari Rural Municipality,,
Nepal,Gandaki Province,SYANGJA,Bhirkot Urban Municipality,,
Nepal,Gandaki Province,SYANGJA,Biruwa Rural Municipality,,
Nepal,Gandaki Province,SYANGJA,Harinas Rural Municipality,,
Nepal,Gandaki Province,SYANGJA,Chapakot Urban Municipality,,
Nepal,Gandaki Province,SYANGJA,Walling Urban Municipality,,
Nepal,Gandaki Province,SYANGJA,Galyang Urban Municipality,,
Nepal,Gandaki Province,SYANGJA,Kaligandaki Rural Municipality,,
Nepal,Gandaki Province,PARBAT,Modi Rural Municipality,,
Nepal,Gandaki Province,PARBAT,Jaljala Rural Municipality,,
Nepal,Gandaki Province,PARBAT,Kushma Urban Municipality,,
Nepal,Gandaki Province,PARBAT,Phalebas Urban Municipality,,
Nepal,Gandaki Province,PARBAT,Mahashila Rural Municipality,,
Nepal,Gandaki Province,PARBAT,Bihadi Rural Municipality,,
Nepal,Gandaki Province,PARBAT,Paiyu Rural Municipality,,
Nepal,Gandaki Province,BAGLUNG,Baglung Urban Municipality,,
Nepal,Gandaki Province,BAGLUNG,Kathekhola Rural Municipality,,
Nepal,Gandaki Province,BAGLUNG,Tarakhola Rural Municipality,,
Nepal,Gandaki Province,BAGLUNG,Tamankhola Rural Municipality,,
Nepal,Gandaki Province,BAGLUNG,Dhorpatan Urban Municipality,,
Nepal,Gandaki Province,BAGLUNG,Nisikhola Rural Municipality,,
Nepal,Gandaki Province,BAGLUNG,Badigad Rural Municipality,,
Nepal,Gandaki Province,BAGLUNG,Galkot Urban Municipality,,
Nepal,Gandaki Province,BAGLUNG,Bareng Rural Municipality,,
Nepal,Gandaki Province,BAGLUNG,Jaimuni Urban Municipality,,
Nepal,Lumbini Province,RUKUM EAST,Putha Uttanganga Rural Municipality,,
Nepal,Lumbini Province,RUKUM EAST,Sisne Rural Municipality,,
Nepal,Lumbini Province,RUKUM EAST,Bhoome Rural Municipality,,
Nepal,Lumbini Province,ROLPA,Sunchhahari Rural Municipality,,
Nepal,Lumbini Province,ROLPA,Thawang Rural Municipality,,
Nepal,Lumbini Province,ROLPA,Pariwartan Rural Municipality,,
Nepal,Lumbini Province,ROLPA,Gangadev Rural Municipality,,
Nepal,Lumbini Province,ROLPA,Madi Rural Municipality,,
Nepal,Lumbini Province,ROLPA,Tribeni Rural Municipality,,
Nepal,Lumbini Province,ROLPA,Rolpa Urban Municipality,,
Nepal,Lumbini Province,ROLPA,Runtigadhi Rural Municipality,,
Nepal,Lumbini Province,ROLPA,Sunil Smriti Rural Municipality,,
Nepal,Lumbini Province,ROLPA,Lungri Rural Municipality,,
Nepal,Lumbini Province,PYUTHAN,Gaumukhi Rural Municipality,,
Nepal,Lumbini Province,PYUTHAN,Naubahini Rural Municipality,,
Nepal,Lumbini Province,PYUTHAN,Jhimaruk Rural Municipality,,
Nepal,Lumbini Province,PYUTHAN,Pyuthan Urban Municipality,,
Nepal,Lumbini Province,PYUTHAN,Sworgadwari Urban Municipality,,
Nepal,Lumbini Province,PYUTHAN,Mandavi Rural Municipality,,
Nepal,Lumbini Province,PYUTHAN,Mallarani Rural Municipality,,
Nepal,Lumbini Province,PYUTHAN,Aairawati Rural Municipality,,
Nepal,Lumbini Province,PYUTHAN,Sarumarani Rural Municipality,,
Nepal,Lumbini Province,GULMI,Kali Gandaki Rural Municipality,,
Nepal,Lumbini Province,GULMI,Satyawoti Rural Municipality,,
Nepal,Lumbini Province,GULMI,Chandrakot Rural Municipality,,
Nepal,Lumbini Province,GULMI,Musikot Urban Municipality,,
Nepal,Lumbini Province,GULMI,Isma Rural Municipality,,
Nepal,Lumbini Province,GULMI,Malika Rural Municipality,,
Nepal,Lumbini Province,GULMI,Madane Rural Municipality,,
Nepal,Lumbini Province,GULMI,Dhurkot Rural Municipality,,
Nepal,Lumbini Province,GULMI,Resunga Urban Municipality,,
Nepal,Lumbini Province,GULMI,Gulmi Durbar Rural Municipality,,
Nepal,Lumbini Province,GULMI,Chhatrakot Rural Municipality,,
Nepal,Lumbini Province,GULMI,Ruruchhetra Rural Municipality,,
Nepal,Lumbini Province,ARGHAKHANCHI,Chhatradev Rural Municipality,,
Nepal,Lumbini Province,ARGHAKHANCHI,Malarani Rural Municipality,,
Nepal,Lumbini Province,ARGHAKHANCHI,Bhumikasthan Urban Municipality,,
Nepal,Lumbini Province,ARGHAKHANCHI,Sandhikharka Urban Municipality,,
Nepal,Lumbini Province,ARGHAKHANCHI,Panini Rural Municipality,,
Nepal,Lumbini Province,ARGHAKHANCHI,Shitaganga Urban Municipality,,
Nepal,Lumbini Province,PALPA,Rampur Urban Municipality,,
Nepal,Lumbini Province,PALPA,Purbakhola Rural Municipality,,
Nepal,Lumbini Province,PALPA,Rambha Rural Municipality,,
Nepal,Lumbini Province,PALPA,Baganaskali Rural Municipality,,
Nepal,Lumbini Province,PALPA,Tansen Urban Municipality,,
Nepal,Lumbini Province,PALPA,Ribdikot Rural Municipality,,
Nepal,Lumbini Province,PALPA,Rainadevi Chhahara Rural Municipality,,
Nepal,Lumbini Province,PALPA,Tinau Rural Municipality,,
Nepal,Lumbini Province,PALPA,Mathagadhi Rural Municipality,,
Nepal,Lumbini Province,PALPA,Nisdi Rural Municipality,,
Nepal,Lumbini Province,NAWALPARASI WEST,Bardaghat Urban Municipality,,
Nepal,Lumbini Province,NAWALPARASI WEST,Sunawal Urban Municipality,,
Nepal,Lumbini Province,NAWALPARASI WEST,Ramgram Urban Municipality,,
Nepal,Lumbini Province,NAWALPARASI WEST,Palhinandan Rural Municipality,,
Nepal,Lumbini Province,NAWALPARASI WEST,Sarawal Rural Municipality,,
Nepal,Lumbini Province,NAWALPARASI WEST,Pratapapur Rural Municipality,,
Nepal,Lumbini Province,NAWALPARASI WEST,Susta Rural Municipality,,
Nepal,Lumbini Province,RUPANDEHI,Devdaha Urban Municipality,,
Nepal,Lumbini Province,RUPANDEHI,Butwal Sub-Metropolitian City,,
Nepal,Lumbini Province,RUPANDEHI,Sainamaina Urban Municipality,,
Nepal,Lumbini Province,RUPANDEHI,Kanchan Rural Municipality,,
Nepal,Lumbini Province,RUPANDEHI,Gaidahawa Rural Municipality,,
Nepal,Lumbini Province,RUPANDEHI,Suddhodhan Rural Municipality,,
Nepal,Lumbini Province,RUPANDEHI,Siyari Rural Municipality,,
Nepal,Lumbini Province,RUPANDEHI,Tilottama Urban Municipality,,
Nepal,Lumbini Province,RUPANDEHI,Om Satiya Rural Municipality,,
Nepal,Lumbini Province,RUPANDEHI,Rohini Rural Municipality,,
Nepal,Lumbini Province,RUPANDEHI,Siddharthanagar Urban Municipality,,
Nepal,Lumbini Province,RUPANDEHI,Mayadevi Rural Municipality,,
Nepal,Lumbini Province,RUPANDEHI,Lumbini Sanskritik Urban Municipality,,
Nepal,Lumbini Province,RUPANDEHI,Kotahimai Rural Municipality,,
Nepal,Lumbini Province,RUPANDEHI,Sammarimai Rural Municipality,,
Nepal,Lumbini Province,RUPANDEHI,Marchawari Rural Municipality,,
Nepal,Lumbini Province,KAPILBASTU,Banganga Urban Municipality,,
Nepal,Lumbini Province,KAPILBASTU,Buddhabhumi Urban Municipality,,
Nepal,Lumbini Province,KAPILBASTU,Shivaraj Urban Municipality,,
Nepal,Lumbini Province,KAPILBASTU,Bijayanagar Rural Municipality,,
Nepal,Lumbini Province,KAPILBASTU,Krishnanagar Urban Municipality,,
Nepal,Lumbini Province,KAPILBASTU,Maharajganj Urban Municipality,,
Nepal,Lumbini Province,KAPILBASTU,Kapilbastu Urban Municipality,,
Nepal,Lumbini Province,KAPILBASTU,Yasodhara Rural Municipality,,
Nepal,Lumbini Province,KAPILBASTU,Mayadevi Rural Municipality,,
Nepal,Lumbini Province,KAPILBASTU,Shuddhodhan Rural Municipality,,
Nepal,Lumbini Province,DANG,Bangalachuli Rural Municipality,,
Nepal,Lumbini Province,DANG,Ghorahi Sub-Metropolitian City,,
Nepal,Lumbini Province,DANG,Tulsipur Sub-Metropolitian City,,
Nepal,Lumbini Province,DANG,Shantinagar Rural Municipality,,
Nepal,Lumbini Province,DANG,Babai Rural Municipality,,
Nepal,Lumbini Province,DANG,Dangisharan Rural Municipality,,
Nepal,Lumbini Province,DANG,Lamahi Urban Municipality,,
Nepal,Lumbini Province,DANG,Rapti Rural Municipality,,
Nepal,Lumbini Province,DANG,Gadhawa Rural Municipality,,
Nepal,Lumbini Province,DANG,Rajpur Rural Municipality,,
Nepal,Lumbini Province,BANKE,Rapti Sonari Rural Municipality,,
Nepal,Lumbini Province,BANKE,Kohalpur Urban Municipality,,
Nepal,Lumbini Province,BANKE,Baijanath Rural Municipality,,
Nepal,Lumbini Province,BANKE,Khajura Rural Municipality,,
Nepal,Lumbini Province,BANKE,Janaki Rural Municipality,,
Nepal,Lumbini Province,BANKE,Nepalganj Sub-Metropolitian City,,
Nepal,Lumbini Province,BANKE,Duduwa Rural Municipality,,
Nepal,Lumbini Province,BANKE,Narainapur Rural Municipality,,
Nepal,Lumbini Province,BARDIYA,Bansgadhi Urban Municipality,,
Nepal,Lumbini Province,BARDIYA,Barbardiya Urban Municipality,,
Nepal,Lumbini Province,BARDIYA,Thakurbaba Urban Municipality,,
Nepal,Lumbini Province,BARDIYA,Geruwa Rural Municipality,,
Nepal,Lumbini Province,BARDIYA,Rajapur Urban Municipality,,
Nepal,Lumbini Province,BARDIYA,Madhuwan Urban Municipality,,
Nepal,Lumbini Province,BARDIYA,Gulariya Urban Municipality,,
Nepal,Lumbini Province,BARDIYA,Badhaiyatal Rural Municipality,,
Nepal,Karnali Province,DOLPA,Dolpo Buddha Rural Municipality,,
Nepal,Karnali Province,DOLPA,Shey Phoksundo Rural Municipality,,
Nepal,Karnali Province,DOLPA,Jagadulla Rural Municipality,,
Nepal,Karnali Province,DOLPA,Mudkechula Rural Municipality,,
Nepal,Karnali Province,DOLPA,Tripurasundari Urban Municipality,,
Nepal,Karnali Province,DOLPA,Thulibheri Urban Municipality,,
Nepal,Karnali Province,DOLPA,Kaike Rural Municipality,,
Nepal,Karnali Province,DOLPA,Chharka Tangsong Rural Municipality,,
Nepal,Karnali Province,MUGU,Mugumakarmarog Rural Municipality,,
Nepal,Karnali Province,MUGU,Chhayanath Rara Urban Municipality,,
Nepal,Karnali Province,MUGU,Soru Rural Municipality,,
Nepal,Karnali Province,MUGU,Khatyad Rural Municipality,,
Nepal,Karnali Province,HUMLA,Chankheli Rural Municipality,,
Nepal,Karnali Province,HUMLA,Kharpunath Rural Municipality,,
Nepal,Karnali Province,HUMLA,Simkot Rural Municipality,,
Nepal,Karnali Province,HUMLA,Namkha Rural Municipality,,
Nepal,Karnali Province,HUMLA,Sarkegad Rural Municipality,,
Nepal,Karnali Province,HUMLA,Adanchuli Rural Municipality,,
Nepal,Karnali Province,HUMLA,Tanjakot Rural Municipality,,
Nepal,Karnali Province,JUMLA,Patarasi Rural Municipality,,
Nepal,Karnali Province,JUMLA,Kanaka Sundari Rural Municipality,,
Nepal,Karnali Province,JUMLA,Sinja Rural Municipality,,
Nepal,Karnali Province,JUMLA,Chandannath Urban Municipality,,
Nepal,Karnali Province,JUMLA,Guthichaur Rural Municipality,,
Nepal,Karnali Province,JUMLA,Tatopani Rural Municipality,,
Nepal,Karnali Province,JUMLA,Tila Rural Municipality,,
Nepal,Karnali Province,JUMLA,Hima Rural Municipality,,
Nepal,Karnali Province,KALIKOT,Palata Rural Municipality,,
Nepal,Karnali Province,KALIKOT,Pachal Jharana Rural Municipality,,
Nepal,Karnali Province,KALIKOT,Raskot Urban Municipality,,
Nepal,Karnali Province,KALIKOT,Sanni Tribeni Rural Municipality,,
Nepal,Karnali Province,KALIKOT,Naraharinath Rural Municipality,,
Nepal,Karnali Province,KALIKOT,Khandachakra Urban Municipality,,
Nepal,Karnali Province,KALIKOT,Tilagupha Urban Municipality,,
Nepal,Karnali Province,KALIKOT,Mahawai Rural Municipality,,
Nepal,Karnali Province,KALIKOT,Shuva Kalika Rural Municipality,,
Nepal,Karnali Province,DAILEKH,Naumule Rural Municipality,,
Nepal,Karnali Province,DAILEKH,Mahabu Rural Municipality,,
Nepal,Karnali Province,DAILEKH,Bhairabi Rural Municipality,,
Nepal,Karnali Province,DAILEKH,Thantikandh Rural Municipality,,
Nepal,Karnali Province,DAILEKH,Aathbis Urban Municipality,,
Nepal,Karnali Province,DAILEKH,Chamunda Bindrasaini Urban Municipality,,
Nepal,Karnali Province,DAILEKH,Dullu Urban Municipality,,
Nepal,Karnali Province,DAILEKH,Narayan Urban Municipality,,
Nepal,Karnali Province,DAILEKH,Bhagawatimai Rural Municipality,,
Nepal,Karnali Province,DAILEKH,Dungeshwor Rural Municipality,,
Nepal,Karnali Province,DAILEKH,Gurans Rural Municipality,,
Nepal,Karnali Province,JAJARKOT,Barekot Rural Municipality,,
Nepal,Karnali Province,JAJARKOT,Kushe Rural Municipality,,
Nepal,Karnali Province,JAJARKOT,Junichande Rural Municipality,,
Nepal,Karnali Province,JAJARKOT,Chhedagad Urban Municipality,,
Nepal,Karnali Province,JAJARKOT,Shivalaya Rural Municipality,,
Nepal,Karnali Province,JAJARKOT,Bheri Malika Urban Municipality,,
Nepal,Karnali Province,JAJARKOT,Nalgad Urban Municipality,,
Nepal,Karnali Province,RUKUM WEST,Aathabisakot Urban Municipality,,
Nepal,Karnali Province,RUKUM WEST,Sanibheri Rural Municipality,,
Nepal,Karnali Province,RUKUM WEST,Banphikot Rural Municipality,,
Nepal,Karnali Province,RUKUM WEST,Musikot Urban Municipality,,
Nepal,Karnali Province,RUKUM WEST,Tribeni Rural Municipality,,
Nepal,Karnali Province,RUKUM WEST,Chaurjahari Urban Municipality,,
Nepal,Karnali Province,SALYAN,Darma Rural Municipality,,
Nepal,Karnali Province,SALYAN,Kumakh Rural Municipality,,
Nepal,Karnali Province,SALYAN,Banagad Kupinde Urban Municipality,,
Nepal,Karnali Province,SALYAN,Siddha Kumakh Rural Municipality,,
Nepal,Karnali Province,SALYAN,Bagachour Urban Municipality,,
Nepal,Karnali Province,SALYAN,Chhatreshwori Rural Municipality,,
Nepal,Karnali Province,SALYAN,Sharada Urban Municipality,,
Nepal,Karnali Province,SALYAN,Kalimati Rural Municipality,,
Nepal,Karnali Province,SALYAN,Tribeni Rural Municipality,,
Nepal,Karnali Province,SALYAN,Kapurkot Rural Municipality,,
Nepal,Karnali Province,SURKHET,Simta Rural Municipality,,
Nepal,Karnali Province,SURKHET,Chingad Rural Municipality,,
Nepal,Karnali Province,SURKHET,Lekabeshi Urban Municipality,,
Nepal,Karnali Province,SURKHET,Gurbhakot Urban Municipality,,
Nepal,Karnali Province,SURKHET,Bheriganga Urban Municipality,,
Nepal,Karnali Province,SURKHET,Birendranagar Urban Municipality,,
Nepal,Karnali Province,SURKHET,Barahatal Rural Municipality,,
Nepal,Karnali Province,SURKHET,Panchapuri Urban Municipality,,
Nepal,Karnali Province,SURKHET,Chaukune Rural Municipality,,
Nepal,Sudurpaschim Province,BAJURA,Himali Rural Municipality,,
Nepal,Sudurpaschim Province,BAJURA,Gaumul Rural Municipality,,
Nepal,Sudurpaschim Province,BAJURA,Budhinanda Urban Municipality,,
Nepal,Sudurpaschim Province,BAJURA,Swamikartik Khapar Rural Municipality,,
Nepal,Sudurpaschim Province,BAJURA,Jagannath Rural Municipality,,
Nepal,Sudurpaschim Province,BAJURA,Badimalika Urban Municipality,,
Nepal,Sudurpaschim Province,BAJURA,Khaptad Chhededaha Rural Municipality,,
Nepal,Sudurpaschim Province,BAJURA,Budhiganga Urban Municipality,,
Nepal,Sudurpaschim Province,BAJURA,Tribeni Urban Municipality,,
Nepal,Sudurpaschim Province,BAJHANG,Saipal Rural Municipality,,
Nepal,Sudurpaschim Province,BAJHANG,Bungal Urban Municipality,,
Nepal,Sudurpaschim Province,BAJHANG,Surma Rural Municipality,,
Nepal,Sudurpaschim Province,BAJHANG,Talkot Rural Municipality,,
Nepal,Sudurpaschim Province,BAJHANG,Masta Rural Municipality,,
Nepal,Sudurpaschim Province,BAJHANG,Jayaprithbi Urban Municipality,,
Nepal,Sudurpaschim Province,BAJHANG,Chhabis Pathibhara Rural Municipality,,
Nepal,Sudurpaschim Province,BAJHANG,Durgathali Rural Municipality,,
Nepal,Sudurpaschim Province,BAJHANG,Kedarsyun Rural Municipality,,
Nepal,Sudurpaschim Province,BAJHANG,Bitthadchir Rural Municipality,,
Nepal,Sudurpaschim Province,BAJHANG,Thalara Rural Municipality,,
Nepal,Sudurpaschim Province,BAJHANG,Khaptad Chhanna Rural Municipality,,
Nepal,Sudurpaschim Province,DARCHULA,Byas Rural Municipality,,
Nepal,Sudurpaschim Province,DARCHULA,Duhun Rural Municipality,,
Nepal,Sudurpaschim Province,DARCHULA,Mahakali Urban Municipality,,
Nepal,Sudurpaschim Province,DARCHULA,Naugad  Rural Municipality,,
Nepal,Sudurpaschim Province,DARCHULA,Apihimal Rural Municipality,,
Nepal,Sudurpaschim Province,DARCHULA,Marma Rural Municipality,,
Nepal,Sudurpaschim Province,DARCHULA,Shailyashikhar Urban Municipality,,
Nepal,Sudurpaschim Province,DARCHULA,Malikarjun Rural Municipality,,
Nepal,Sudurpaschim Province,DARCHULA,Lekam Rural Municipality,,
Nepal,Sudurpaschim Province,BAITADI,Dilasaini Rural Municipality,,
Nepal,Sudurpaschim Province,BAITADI,Dogada Kedar Rural Municipality,,
Nepal,Sudurpaschim Province,BAITADI,Puchaundi Urban Municipality,,
Nepal,Sudurpaschim Province,BAITADI,Surnaya Rural Municipality,,
Nepal,Sudurpaschim Province,BAITADI,Dasharathchand Urban Municipality,,
Nepal,Sudurpaschim Province,BAITADI,Pancheshwor Rural Municipality,,
Nepal,Sudurpaschim Province,BAITADI,Shivanath Rural Municipality,,
Nepal,Sudurpaschim Province,BAITADI,Melauli Urban Municipality,,
Nepal,Sudurpaschim Province,BAITADI,Patan Urban Municipality,,
Nepal,Sudurpaschim Province,BAITADI,Sigas Rural Municipality,,
Nepal,Sudurpaschim Province,DADELDHURA,Nawadurga Rural Municipality,,
Nepal,Sudurpaschim Province,DADELDHURA,Amargadhi Urban Municipality,,
Nepal,Sudurpaschim Province,DADELDHURA,Ajaymeru Rural Municipality,,
Nepal,Sudurpaschim Province,DADELDHURA,Bhageshwor Rural Municipality,,
Nepal,Sudurpaschim Province,DADELDHURA,Parashuram Urban Municipality,,
Nepal,Sudurpaschim Province,DADELDHURA,Aalital Rural Municipality,,
Nepal,Sudurpaschim Province,DADELDHURA,Ganyapdhura Rural Municipality,,
Nepal,Sudurpaschim Province,DOTI,Purbichouki Rural Municipality,,
Nepal,Sudurpaschim Province,DOTI,Sayal Rural Municipality,,
Nepal,Sudurpaschim Province,DOTI,Aadarsha Rural Municipality,,
Nepal,Sudurpaschim Province,DOTI,Shikhar Urban Municipality,,
Nepal,Sudurpaschim Province,DOTI,Dipayal Silgadhi Urban Municipality,,
Nepal,Sudurpaschim Province,DOTI,K.I. Singh Rural Municipality,,
Nepal,Sudurpaschim Province,DOTI,Bogatan Phudsil Rural Municipality,,
Nepal,Sudurpaschim Province,DOTI,Badi Kedar Rural Municipality,,
Nepal,Sudurpaschim Province,DOTI,Jorayal Rural Municipality,,
Nepal,Sudurpaschim Province,ACHHAM,Panchdebal Binayak Urban Municipality,,
Nepal,Sudurpaschim Province,ACHHAM,Ramaroshan Rural Municipality,,
Nepal,Sudurpaschim Province,ACHHAM,Mellekh Rural Municipality,,
Nepal,Sudurpaschim Province,ACHHAM,Sanphebagar Urban Municipality,,
Nepal,Sudurpaschim Province,ACHHAM,Chaurpati Rural Municipality,,
Nepal,Sudurpaschim Province,ACHHAM,Mangalsen Urban Municipality,,
Nepal,Sudurpaschim Province,ACHHAM,Bannigadhi Jayagadh Rural Municipality,,
Nepal,Sudurpaschim Province,ACHHAM,Kamal bazar Urban Municipality,,
Nepal,Sudurpaschim Province,ACHHAM,Dhakari Rural Municipality,,
Nepal,Sudurpaschim Province,ACHHAM,Turmakhand Rural Municipality,,
Nepal,Sudurpaschim Province,KAILALI,Mohanyal Rural Municipality,,
Nepal,Sudurpaschim Province,KAILALI,Chure Rural Municipality,,
Nepal,Sudurpaschim Province,KAILALI,Godawari Urban Municipality,,
Nepal,Sudurpaschim Province,KAILALI,Gauriganga Urban Municipality,,
Nepal,Sudurpaschim Province,KAILALI,Ghodaghodi Urban Municipality,,
Nepal,Sudurpaschim Province,KAILALI,Bardagoriya Rural Municipality,,
Nepal,Sudurpaschim Province,KAILALI,Lamki Chuha Urban Municipality,,
Nepal,Sudurpaschim Province,KAILALI,Janaki Rural Municipality,,
Nepal,Sudurpaschim Province,KAILALI,Joshipur Rural Municipality,,
Nepal,Sudurpaschim Province,KAILALI,Tikapur Urban Municipality,,
Nepal,Sudurpaschim Province,KAILALI,Bhajani Urban Municipality,,
Nepal,Sudurpaschim Province,KAILALI,Kailari Rural Municipality,,
Nepal,Sudurpaschim Province,KAILALI,Dhangadhi Sub-Metropolitian City,,
Nepal,Sudurpaschim Province,KANCHANPUR,Krishnapur Urban Municipality,,
Nepal,Sudurpaschim Province,KANCHANPUR,Shuklaphanta Urban Municipality,,
Nepal,Sudurpaschim Province,KANCHANPUR,Bedkot Urban Municipality,,
Nepal,Sudurpaschim Province,KANCHANPUR,Bhimdatta Urban Municipality,,
Nepal,Sudurpaschim Province,KANCHANPUR,Mahakali Urban Municipality,,
Nepal,Sudurpaschim Province,KANCHANPUR,Laljhadi Rural Municipality,,
Nepal,Sudurpaschim Province,KANCHANPUR,Punarbas Urban Municipality,,
Nepal,Sudurpaschim Province,KANCHANPUR,Belouri Urban Municipality,,
Nepal,Sudurpaschim Province,KANCHANPUR,Beldandi Rural Municipality,,
