Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_version:1,_order:500
3eeee4d3-6421-34de-aa44-2e2872d25ec7,,,Surgical Blade -21,,Medical supply,N/A,,,
7cf462e2-9c22-38c0-8352-1be0dca56465,,,Surgical Blade All Sizes -()(Blade),,Medical supply,N/A,,,
27ac7935-d505-3e02-9699-7a0a5e5902ea,,,Surgical Item Blade -11(Surgical Item Blade-11),,Medical supply,N/A,,,
ff57a17d-0511-3b55-9c16-ae1da5be67fc,,,Surgical Item Blade -21(Surgical Item Blade),,Medical supply,N/A,,,
7adebcba-690e-3d29-9d2c-01b20f1fb721,,,Surgical Item Blade All Sizes -(Blade),,Medical supply,N/A,,,
9e657f2c-0ba1-3000-856f-264e32647575,,,Syringe -10 Ml(Disposable)(Syringe 10Ml),,Medical supply,N/A,,,
6c4b52c2-0a2d-339f-a414-c1b842b1f446,,,Syringe -10(Disposable),,Medical supply,N/A,,,
fd36bec2-947a-3580-b20c-a10cb382de47,,,Syringe -20 Ml(Disposable),,Medical supply,N/A,,,
252d1044-b516-3c4d-9d7b-adc723edce3e,,,Thoracic Catheter -24,,Medical supply,N/A,,,
b1e9930e-be51-3cee-9115-4efd5836ce80,,,Thoracic Catheter -28,,Medical supply,N/A,,,
9dd704b9-c89d-3cf8-938b-94430d356c83,,,Urine Bag -2000Ml(Single Use Uro Bag)(Urine Bag),,Medical supply,N/A,,,
7ccdd18c-504d-38dc-a5d8-f16c8379907d,,,Ventury Mask,,Medical supply,N/A,,,
12a89ff4-c5c9-380b-b709-188f27d1059f,,,Vicryl -0(-W3)(Vicryl),,Medical supply,N/A,,,
37252efa-6b29-394c-bf01-8831c4517023,,,Vicryl -1-0(-W3)(Vicryl),,Medical supply,N/A,,,
b47412da-ffe6-36ca-a644-fff07a5b9c6b,,,Vicryl -2(Vick),,Medical supply,N/A,,,
edc19eaa-7bba-3987-93ed-7a1e01cb8303,,,Vicryl -2(Vicryl 2-0),,Medical supply,N/A,,,
51ba520d-b38b-3251-bbc1-8642e39d4ccc,,,Water Sealed Bag,,Medical supply,N/A,,,
eb14b73c-3924-3398-9d1a-076c32eca1a9,,,Wrist And Fore Arm Siling,,Medical supply,N/A,,,
910f6daf-be6a-3698-a323-8ee5f88ef7a3,,,Zerostat Vt Spacer,,Medical supply,N/A,,,
