Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_version:1,_order:500
9f5d0435-1fb3-4576-8c73-0f2da9a4,,,Surgical Item Blade -11(Surgical Item Blade-11),,Medical supply,N/A,,,
3d8db1c4-e48f-4ac8-8c59-58ccad89,,,Surgical Item Blade -21(Surgical Item Blade),,Medical supply,N/A,,,
96da8233-bfda-4c88-b253-31c9da6c,,,Surgical Item Blade All Sizes -(Blade),,Medical supply,N/A,,,
e10889de-4f94-49e1-9015-d458daf3,,,Syringe -10 Ml(Disposable)(Syringe 10Ml),,Medical supply,N/A,,,
690362ec-6d86-4ac9-8ede-ad7fe2b5,,,Syringe -10(Disposable),,Medical supply,N/A,,,
7f3c2784-3ea2-4e6d-9947-894f0da8,,,Syringe -20 Ml(Disposable),,Medical supply,N/A,,,
61cc4f63-761b-4b0e-814a-88393559,,,Thoracic Catheter -24,,Medical supply,N/A,,,
9c8c946d-4459-4bec-8d45-88982f48,,,Thoracic Catheter -28,,Medical supply,N/A,,,
c3c83a42-ca5d-4a4c-92cc-8121f91e,,,Urine Bag -2000Ml(Single Use Uro Bag)(Urine Bag),,Medical supply,N/A,,,
15ab6977-f57a-4289-bffe-33ce1713,,,Ventury Mask,,Medical supply,N/A,,,
9c293e6e-63f9-4d39-9961-41d4658b,,,Vicryl -0(-W3)(Vicryl),,Medical supply,N/A,,,
dc4a8761-81ee-4a6d-88c4-8b8cb7cf,,,Vicryl -1-0(-W3)(Vicryl),,Medical supply,N/A,,,
a256c323-e72e-45b9-a074-6acb49a8,,,Vicryl -2(Vick),,Medical supply,N/A,,,
06526b06-11df-4f65-8c34-8a12fe62,,,Vicryl -2(Vicryl 2-0),,Medical supply,N/A,,,
fe3ab293-fbdc-4cc4-ba75-800e19a3,,,Water Sealed Bag,,Medical supply,N/A,,,
8312b066-1893-413d-9e5d-d23fa247,,,Wrist And Fore Arm Siling,,Medical supply,N/A,,,
4b2a34e4-3d09-4e11-906a-f55e45ae,,,Zerostat Vt Spacer ,,Medical supply,N/A,,,
